name,state_fp,clinton,trump
Alabama,01,718084,1306925
Alaska,02,93007,130415
Arizona,03,933655,1017166
Arkansas,04,378729,677904
California,05,5589936,3021095
Colorado,06,1212209,1137455
Connecticut,07,823360,637919
Delaware,08,235581,185103
District of Columbia,09,260223,11553
Florida,10,4485745,4605515
Georgia,11,1837300,2068623
Hawaii,12,266827,128815
Idaho,13,189677,407199
Illinois,14,2977498,2118179
Indiana,15,1031953,1556220
Iowa,16,650790,798923
Kansas,17,414788,656009
Kentucky,18,628834,1202942
Louisiana,19,779535,1178004
Maine,20,354873,334838
Maryland,21,1497951,873646
Massachusetts,22,1964768,1083069
Michigan,23,2267373,2279210
Minnesota,24,1366676,1322891
Mississippi,25,462001,678457
Missouri,26,1054889,1585753
Montana,27,174521,274120
Nebraska,28,273858,485819
Nevada,29,537753,511319
New Hampshire,30,348126,345598
New Jersey,31,2021756,1535513
New Mexico,32,380724,315875
New York,33,4143874,2640570
North Carolina,34,2162074,2339603
North Dakota,35,93526,216133
Ohio,36,2317001,2771984
Oklahoma,37,419788,947934
Oregon,38,934631,742506
Pennsylvania,39,2844705,2912941
Rhode Island,40,249902,179421
South Carolina,41,849469,1143611
South Dakota,42,117442,227701
Tennessee,43,867110,1517402
Texas,44,3867816,4681590
Utah,45,237241,397004
Vermont,46,178117,95050
Virginia,47,1916845,1731156
Washington,48,1364934,950710
West Virginia,49,187457,486198
Wisconsin,50,1382210,1409467
Wyoming,51,55949,174248
Puerto Rico,52,1,1
