Name,FIPS,Clinton,Trump
Abbeville,05000US45001,3741,6763
Aiken,05000US45003,25455,46025
Allendale,05000US45005,2735,789
Anderson,05000US45007,21097,56232
Bamberg,05000US45009,3891,2199
Barnwell,05000US45011,4400,4889
Beaufort,05000US45013,32138,42922
Berkeley,05000US45015,30705,44587
Calhoun,05000US45017,3573,3787
Charleston,05000US45019,89299,75443
Cherokee,05000US45021,6092,15167
Chester,05000US45023,6582,7272
Chesterfield,05000US45025,6858,9312
Clarendon,05000US45027,7732,7386
Colleton,05000US45029,7627,9091
Darlington,05000US45031,13888,14989
Dillon,05000US45033,5834,5637
Dorchester,05000US45035,24055,34987
Edgefield,05000US45037,4491,6842
Fairfield,05000US45039,6945,4027
Florence,05000US45041,26710,29573
Georgetown,05000US45043,13310,17389
Greenville,05000US45045,74483,127832
Greenwood,05000US45047,10711,16961
Hampton,05000US45049,5170,3488
Horry,05000US45051,39410,89288
Jasper,05000US45053,5956,5187
Kershaw,05000US45055,10330,17542
Lancaster,05000US45057,13812,23719
Laurens,05000US45059,8889,16816
Lee,05000US45061,5199,2803
Lexington,05000US45063,35230,80026
McCormick,05000US45065,2479,2652
Marion,05000US45067,8569,5444
Marlboro,05000US45069,5954,4267
Newberry,05000US45071,6217,10017
Oconee,05000US45073,7998,24178
Orangeburg,05000US45075,26318,11931
Pickens,05000US45077,10354,36236
Richland,05000US45079,108000,52469
Saluda,05000US45081,2813,5526
Spartanburg,05000US45083,39997,76277
Sumter,05000US45085,24047,18745
Union,05000US45087,4729,7061
Williamsburg,05000US45089,9953,4864
York,05000US45091,41593,66754
,, , 
